subj_id,eye,trial_no,n_flash,n_beep,direction,blindspot,response,phase,fixation_x_mean,fixation_x_max,fixation_y_mean,fixation_y_max,pupil_avg_mean,pupil_avg_max,fixation_duration_mean,saccade_amplitude_mean,saccade_amplitude_max,saccade_velocity_mean,saccade_velocity_max,saccade_duration_mean
SV021,L,1,2,3,0,0,3,Fixation,,,,,,,,,,,,
SV021,L,2,2,3,1,0,3,Fixation,,,,,,,,,,,,
SV021,L,3,3,3,0,1,3,Fixation,,,,,,,,,,,,
SV021,L,4,3,0,0,0,3,Fixation,,,,,,,,,,,,
SV021,L,5,2,2,1,1,2,Fixation,,,,,,,,,,,,
SV021,L,6,2,0,1,1,2,Fixation,,,,,,,,,,,,
SV021,L,7,2,0,1,1,2,Fixation,,,,,,,,,,,,
SV021,L,8,3,0,0,1,3,Fixation,,,,,,,,,,,,
SV021,L,9,2,0,1,1,2,Fixation,,,,,,,,,,,,
SV021,L,10,3,2,1,1,2,Fixation,,,,,,,,,,,,
SV021,L,11,2,2,1,0,2,Fixation,,,,,,,,,,,,
SV021,L,12,3,2,0,1,2,Fixation,,,,,,,,,,,,
SV021,L,13,2,0,1,0,2,Fixation,,,,,,,,,,,,
SV021,L,14,3,2,1,1,2,Fixation,,,,,,,,,,,,
SV021,L,15,2,2,0,0,2,Fixation,,,,,,,,,,,,
SV021,L,16,3,0,0,1,2,Fixation,,,,,,,,,,,,
SV021,L,17,2,0,0,0,2,Fixation,,,,,,,,,,,,
SV021,L,18,2,0,0,0,2,Fixation,,,,,,,,,,,,
SV021,L,19,3,0,0,0,2,Fixation,,,,,,,,,,,,
SV021,L,20,3,3,1,1,3,Fixation,,,,,,,,,,,,
SV021,L,21,2,2,1,1,2,Fixation,,,,,,,,,,,,
SV021,L,22,2,0,0,0,2,Fixation,,,,,,,,,,,,
SV021,L,23,3,3,1,0,3,Fixation,,,,,,,,,,,,
SV021,L,24,3,0,1,1,2,Fixation,,,,,,,,,,,,
SV021,L,25,3,2,0,0,2,Fixation,,,,,,,,,,,,
SV021,L,26,2,0,0,1,2,Fixation,,,,,,,,,,,,
SV021,L,27,3,0,1,1,3,Fixation,,,,,,,,,,,,
SV021,L,28,2,3,1,0,3,Fixation,,,,,,,,,,,,
SV021,L,29,3,0,1,1,3,Fixation,,,,,,,,,,,,
SV021,L,30,2,0,0,0,2,Fixation,,,,,,,,,,,,
SV021,L,31,2,2,0,1,2,Fixation,,,,,,,,,,,,
SV021,L,32,3,2,1,1,2,Fixation,,,,,,,,,,,,
SV021,L,33,2,3,0,0,3,Fixation,,,,,,,,,,,,
SV021,L,34,2,3,0,1,3,Fixation,,,,,,,,,,,,
SV021,L,35,2,0,0,0,2,Fixation,,,,,,,,,,,,
SV021,L,36,2,2,1,0,2,Fixation,,,,,,,,,,,,
SV021,L,37,2,3,0,1,3,Fixation,,,,,,,,,,,,
SV021,L,38,2,3,1,0,3,Fixation,,,,,,,,,,,,
SV021,L,39,3,2,0,1,2,Fixation,,,,,,,,,,,,
SV021,L,40,3,2,1,0,2,Fixation,,,,,,,,,,,,
SV021,L,41,2,3,1,1,3,Fixation,,,,,,,,,,,,
SV021,L,42,2,0,0,0,2,Fixation,,,,,,,,,,,,
SV021,L,43,3,3,0,1,3,Fixation,,,,,,,,,,,,
SV021,L,44,3,2,1,1,2,Fixation,,,,,,,,,,,,
SV021,L,45,3,2,1,0,2,Fixation,,,,,,,,,,,,
SV021,L,46,2,3,1,1,3,Fixation,,,,,,,,,,,,
SV021,L,47,3,0,0,1,3,Fixation,,,,,,,,,,,,
SV021,L,48,3,3,1,0,3,Fixation,,,,,,,,,,,,
SV021,L,49,2,2,0,1,2,Fixation,,,,,,,,,,,,
SV021,L,50,3,0,1,0,2,Fixation,,,,,,,,,,,,
SV021,L,51,3,0,0,0,2,Fixation,,,,,,,,,,,,
SV021,L,52,2,3,0,1,3,Fixation,,,,,,,,,,,,
SV021,L,53,3,0,1,0,3,Fixation,,,,,,,,,,,,
SV021,L,54,3,3,1,0,3,Fixation,,,,,,,,,,,,
