subj_id,eye,trial_no,n_flash,n_beep,direction,blindspot,response
SV024,R,1,2,2,0,0,2
SV024,R,2,3,0,1,1,2
SV024,R,3,2,3,0,1,2
SV024,R,4,3,2,1,0,2
SV024,R,5,3,0,1,0,2
SV024,R,6,3,3,1,1,2
SV024,R,7,3,0,0,1,2
SV024,R,8,2,0,0,1,2
SV024,R,9,3,3,1,1,2
SV024,R,10,3,2,1,0,2
SV024,R,11,3,2,1,0,2
SV024,R,12,2,2,0,0,2
SV024,R,13,3,2,0,0,2
SV024,R,14,3,3,1,0,2
SV024,R,15,2,3,1,1,3
SV024,R,16,3,2,0,1,2
SV024,R,17,3,3,1,1,2
SV024,R,18,2,3,0,0,2
SV024,R,19,2,3,0,1,2
SV024,R,20,3,2,0,0,2
SV024,R,21,3,2,0,0,3
SV024,R,22,3,3,0,1,2
SV024,R,23,2,0,1,1,2
SV024,R,24,2,2,1,1,2
SV024,R,25,2,0,0,0,2
SV024,R,26,3,0,0,0,3
SV024,R,27,2,0,1,1,2
SV024,R,28,3,2,1,1,2
SV024,R,29,3,3,0,1,2
SV024,R,30,3,3,0,1,2
SV024,R,31,3,3,1,0,3
SV024,R,32,2,2,0,0,2
SV024,R,33,2,0,0,1,2
SV024,R,34,3,0,0,1,2
SV024,R,35,3,2,0,1,2
SV024,R,36,2,0,0,0,2
SV024,R,37,2,0,0,1,2
SV024,R,38,2,0,1,0,2
SV024,R,39,3,2,0,1,2
SV024,R,40,2,0,1,0,2
SV024,R,41,3,2,0,0,2
SV024,R,42,3,3,1,0,2
SV024,R,43,3,0,1,0,2
SV024,R,44,3,3,0,0,3
SV024,R,45,3,3,0,0,3
SV024,R,46,3,3,0,1,2
SV024,R,47,2,2,0,0,2
SV024,R,48,2,3,0,1,3
SV024,R,49,3,2,0,1,2
SV024,R,50,2,0,1,0,2
SV024,R,51,2,2,1,0,2
SV024,R,52,3,0,0,1,2
SV024,R,53,3,3,0,1,2
SV024,R,54,3,2,0,1,2
SV024,R,55,3,3,0,0,3
SV024,R,56,3,3,1,1,1
SV024,R,57,2,2,1,0,2
SV024,R,58,2,3,1,1,2
SV024,R,59,2,3,0,0,2
SV024,R,60,2,3,0,1,2
SV024,R,61,3,0,1,1,2
SV024,R,62,2,3,1,1,2
SV024,R,63,2,3,0,1,2
SV024,R,64,2,2,1,1,2
SV024,R,65,2,3,1,0,2
SV024,R,66,3,0,0,1,2
SV024,R,67,3,3,0,1,2
SV024,R,68,3,3,0,0,3
SV024,R,69,3,0,1,0,2
SV024,R,70,3,3,1,0,2
SV024,R,71,2,3,1,1,2
SV024,R,72,2,0,0,0,2
SV024,R,73,2,2,1,0,2
SV024,R,74,3,2,0,0,2
SV024,R,75,2,0,1,0,2
SV024,R,76,3,2,1,0,2
SV024,R,77,3,0,0,0,3
SV024,R,78,2,3,0,1,3
SV024,R,79,3,3,1,0,2
SV024,R,80,2,3,0,1,2
SV024,R,81,3,0,0,0,2
SV024,R,82,3,2,1,1,2
SV024,R,83,2,3,1,1,2
SV024,R,84,2,0,1,0,2
SV024,R,85,2,2,1,0,2
SV024,R,86,2,2,0,1,2
SV024,R,87,2,2,0,1,2
SV024,R,88,2,0,1,0,2
SV024,R,89,3,2,1,0,2
SV024,R,90,2,0,1,1,2
SV024,R,91,2,3,1,0,3
SV024,R,92,3,0,0,0,3
SV024,R,93,3,2,0,1,2
SV024,R,94,2,2,1,0,2
SV024,R,95,2,3,1,0,2
SV024,R,96,2,0,1,0,2
SV024,R,97,2,2,0,1,2
SV024,R,98,2,0,0,1,2
SV024,R,99,3,2,0,1,2
SV024,R,100,3,0,1,0,2
SV024,R,101,2,2,1,1,2
SV024,R,102,3,2,0,0,2
SV024,R,103,3,3,1,0,2
SV024,R,104,3,3,0,0,3
SV024,R,105,2,0,1,1,1
SV024,R,106,2,0,0,0,2
SV024,R,107,3,0,1,1,2
SV024,R,108,2,0,0,1,2
SV024,R,109,3,0,0,1,2
SV024,R,110,3,0,0,1,3
SV024,R,111,2,3,0,0,3
SV024,R,112,2,0,0,0,2
SV024,R,113,3,0,1,1,2
SV024,R,114,3,3,0,1,3
SV024,R,115,3,3,1,0,2
SV024,R,116,2,0,1,0,2
SV024,R,117,2,2,0,1,2
SV024,R,118,3,3,0,0,2
SV024,R,119,2,0,1,1,2
SV024,R,120,2,0,0,1,2
SV024,R,121,2,3,0,0,2
SV024,R,122,2,2,0,1,2
SV024,R,123,2,2,0,0,2
SV024,R,124,3,0,0,1,2
SV024,R,125,3,0,0,1,2
SV024,R,126,3,3,0,0,3
SV024,R,127,2,3,1,1,2
SV024,R,128,2,2,1,1,2
SV024,R,129,2,3,1,1,2
SV024,R,130,3,0,1,1,2
SV024,R,131,3,0,1,0,2
SV024,R,132,2,0,0,0,3
SV024,R,133,3,2,0,0,3
SV024,R,134,3,3,0,1,3
SV024,R,135,3,0,1,0,2
SV024,R,136,3,3,1,1,2
SV024,R,137,3,3,1,1,2
SV024,R,138,3,0,1,1,2
SV024,R,139,2,2,1,1,2
SV024,R,140,2,0,0,0,2
SV024,R,141,3,3,1,1,2
SV024,R,142,2,2,0,1,2
SV024,R,143,2,3,1,0,2
SV024,R,144,2,0,0,0,2
SV024,R,145,2,0,1,1,2
SV024,R,146,3,0,1,1,2
SV024,R,147,3,3,0,1,3
SV024,R,148,3,0,1,1,2
SV024,R,149,2,2,1,1,2
SV024,R,150,3,2,1,1,2
SV024,R,151,3,2,0,1,2
SV024,R,152,2,2,1,1,2
SV024,R,153,3,0,0,1,2
SV024,R,154,2,3,1,1,2
SV024,R,155,2,0,1,1,2
SV024,R,156,3,0,1,0,2
SV024,R,157,3,2,1,1,2
SV024,R,158,3,0,0,0,3
SV024,R,159,3,2,1,1,2
SV024,R,160,2,3,1,0,2
SV024,R,161,2,3,0,1,2
SV024,R,162,3,2,0,0,2
SV024,R,163,2,3,0,0,3
SV024,R,164,2,3,0,1,3
SV024,R,165,2,2,0,1,2
SV024,R,166,3,2,0,1,2
SV024,R,167,2,2,0,1,2
SV024,R,168,2,3,0,0,2
SV024,R,169,2,0,0,1,1
SV024,R,170,3,0,0,0,2
SV024,R,171,2,3,1,1,2
SV024,R,172,3,0,1,0,2
SV024,R,173,3,3,1,1,3
SV024,R,174,3,0,0,0,3
SV024,R,175,2,0,0,1,2
SV024,R,176,3,2,1,0,2
SV024,R,177,3,2,1,1,2
SV024,R,178,2,0,0,1,2
SV024,R,179,3,3,0,0,3
SV024,R,180,2,0,0,0,2
SV024,R,181,2,2,0,1,2
SV024,R,182,2,3,1,0,2
SV024,R,183,2,0,1,1,2
SV024,R,184,3,3,0,0,3
SV024,R,185,2,3,1,0,2
SV024,R,186,3,3,1,1,2
SV024,R,187,2,3,1,0,2
SV024,R,188,2,3,1,1,2
SV024,R,189,3,2,1,0,2
SV024,R,190,2,3,0,0,2
SV024,R,191,2,3,1,0,2
SV024,R,192,2,2,0,0,2
SV024,R,193,2,2,1,0,2
SV024,R,194,2,2,0,0,2
SV024,R,195,3,0,0,0,3
SV024,R,196,2,2,1,0,2
SV024,R,197,2,2,0,0,2
SV024,R,198,2,2,1,1,2
SV024,R,199,2,2,1,0,2
SV024,R,200,2,0,1,1,2
SV024,R,201,3,3,1,0,2
SV024,R,202,3,2,1,1,2
SV024,R,203,3,0,1,1,2
SV024,R,204,2,3,0,0,3
SV024,R,205,3,2,0,1,2
SV024,R,206,3,2,1,0,2
SV024,R,207,3,0,1,0,3
SV024,R,208,3,0,1,0,3
SV024,R,209,2,3,0,1,3
SV024,R,210,2,2,1,0,2
SV024,R,211,3,3,1,1,2
SV024,R,212,2,3,0,0,2
SV024,R,213,2,0,1,1,2
SV024,R,214,3,3,0,1,2
SV024,R,215,2,3,0,0,2
SV024,R,216,2,2,1,0,2
SV024,R,217,2,0,1,0,3
SV024,R,218,3,0,1,1,3
SV024,R,219,3,3,0,0,3
SV024,R,220,3,2,1,1,2
SV024,R,221,3,0,0,0,3
SV024,R,222,3,0,0,0,3
SV024,R,223,3,2,1,1,2
SV024,R,224,2,2,0,0,2
SV024,R,225,3,3,1,0,2
SV024,R,226,2,0,0,1,3
SV024,R,227,3,2,1,0,2
SV024,R,228,3,2,1,0,2
SV024,R,229,2,2,1,1,2
SV024,R,230,3,0,0,1,2
SV024,R,231,2,0,1,0,2
SV024,R,232,2,2,0,1,2
SV024,R,233,3,2,1,1,2
SV024,R,234,3,3,1,0,3
SV024,R,235,3,2,0,0,2
SV024,R,236,2,0,0,0,3
SV024,R,237,2,3,1,0,2
SV024,R,238,2,2,0,0,2
SV024,R,239,2,2,1,1,2
SV024,R,240,3,2,0,0,3
SV024,R,241,3,0,1,1,0
SV024,R,242,2,3,0,1,3
SV024,R,243,2,0,1,1,0
SV024,R,244,3,0,0,0,0
SV024,R,245,3,0,1,0,0
SV024,R,246,3,2,0,0,2
SV024,R,247,3,0,1,1,0
SV024,R,248,2,0,1,1,0
SV024,R,249,2,0,0,1,0
SV024,R,250,2,3,0,1,3
SV024,R,251,2,2,1,1,2
SV024,R,252,3,3,1,1,3
SV024,R,253,2,3,0,1,3
SV024,R,254,2,2,1,1,2
SV024,R,255,2,3,1,1,3
SV024,R,256,2,0,1,0,0
SV024,R,257,3,0,0,1,0
SV024,R,258,3,2,0,1,2
SV024,R,259,2,3,1,1,3
SV024,R,260,2,2,1,0,2
SV024,R,261,2,0,1,0,0
SV024,R,262,2,2,1,0,2
SV024,R,263,2,2,1,1,2
SV024,R,264,2,3,0,0,3
SV024,R,265,3,3,1,1,3
SV024,R,266,2,0,1,1,0
SV024,R,267,3,2,0,0,2
SV024,R,268,3,0,1,1,0
SV024,R,269,2,2,0,0,2
SV024,R,270,2,0,1,1,0
SV024,R,271,2,2,0,1,2
SV024,R,272,2,2,0,0,2
SV024,R,273,3,0,1,0,0
SV024,R,274,3,3,1,1,3
SV024,R,275,2,0,0,1,0
SV024,R,276,2,0,0,0,0
SV024,R,277,2,2,1,0,2
SV024,R,278,2,3,0,0,3
SV024,R,279,2,3,1,0,3
SV024,R,280,3,2,0,0,2
SV024,R,281,3,3,1,0,3
SV024,R,282,3,0,1,1,0
SV024,R,283,3,2,1,1,2
SV024,R,284,2,3,0,1,3
SV024,R,285,3,2,1,1,2
SV024,R,286,2,3,1,0,3
SV024,R,287,2,3,1,1,3
SV024,R,288,3,3,1,1,3
SV024,R,289,3,2,1,1,2
SV024,R,290,2,3,0,0,3
SV024,R,291,3,0,0,0,0
SV024,R,292,3,0,0,1,0
SV024,R,293,3,3,0,1,3
SV024,R,294,3,2,0,0,2
SV024,R,295,3,2,0,0,2
SV024,R,296,3,0,0,1,0
SV024,R,297,3,3,1,1,3
SV024,R,298,3,0,0,1,0
SV024,R,299,3,0,0,0,0
SV024,R,300,3,2,0,0,2
SV024,R,301,3,3,0,1,3
SV024,R,302,2,3,0,0,3
SV024,R,303,3,0,1,1,0
SV024,R,304,2,3,1,1,3
SV024,R,305,2,3,1,0,3
SV024,R,306,2,3,1,0,3
SV024,R,307,3,0,0,1,0
SV024,R,308,3,0,0,0,0
SV024,R,309,2,0,1,1,0
SV024,R,310,3,0,0,1,0
SV024,R,311,2,3,0,0,2
SV024,R,312,2,0,1,0,0
SV024,R,313,2,0,0,0,0
SV024,R,314,3,2,1,0,2
SV024,R,315,2,0,1,1,0
SV024,R,316,3,2,0,1,2
SV024,R,317,3,3,0,0,3
SV024,R,318,3,2,0,1,2
SV024,R,319,2,0,0,0,0
SV024,R,320,3,3,1,1,3
SV024,R,321,2,2,0,1,2
SV024,R,322,3,2,1,0,2
SV024,R,323,2,2,0,0,2
SV024,R,324,2,0,0,1,0
SV024,R,325,2,3,0,0,3
SV024,R,326,3,2,1,0,2
SV024,R,327,2,0,1,1,0
SV024,R,328,2,3,1,1,3
SV024,R,329,3,0,1,0,0
SV024,R,330,2,2,1,1,2
SV024,R,331,2,2,1,1,2
SV024,R,332,3,3,0,1,3
SV024,R,333,3,0,1,1,0
SV024,R,334,3,3,1,1,3
SV024,R,335,3,2,1,1,2
SV024,R,336,3,3,1,0,3
SV024,R,337,3,0,0,0,0
SV024,R,338,2,2,1,0,2
SV024,R,339,2,3,1,1,3
SV024,R,340,3,3,1,0,3
SV024,R,341,2,2,0,1,2
SV024,R,342,2,3,0,1,3
SV024,R,343,3,3,0,1,3
SV024,R,344,3,0,1,0,0
SV024,R,345,2,3,1,0,3
SV024,R,346,2,2,1,0,2
SV024,R,347,2,0,1,0,0
SV024,R,348,3,2,0,1,2
SV024,R,349,2,0,0,0,0
SV024,R,350,3,2,1,1,2
SV024,R,351,2,2,0,1,2
SV024,R,352,3,3,0,1,3
SV024,R,353,3,3,0,0,3
SV024,R,354,3,2,0,1,2
SV024,R,355,3,3,0,1,3
SV024,R,356,2,0,0,0,0
SV024,R,357,3,0,0,0,0
SV024,R,358,3,3,1,0,3
SV024,R,359,3,2,1,1,2
SV024,R,360,3,0,1,0,0
SV024,R,361,3,2,1,0,2
SV024,R,362,3,3,1,1,3
SV024,R,363,2,2,0,0,2
SV024,R,364,2,2,0,0,2
SV024,R,365,2,3,1,1,3
SV024,R,366,3,0,1,1,0
SV024,R,367,3,2,1,0,2
SV024,R,368,2,3,1,1,3
SV024,R,369,3,0,1,0,0
SV024,R,370,3,3,1,0,3
SV024,R,371,2,2,0,0,2
SV024,R,372,2,2,0,1,2
SV024,R,373,2,3,0,0,3
SV024,R,374,2,2,1,1,2
SV024,R,375,3,2,0,0,2
SV024,R,376,3,3,0,0,3
SV024,R,377,2,0,0,1,0
SV024,R,378,3,3,1,0,3
SV024,R,379,2,2,0,0,2
SV024,R,380,3,2,1,1,2
SV024,R,381,2,3,1,1,3
SV024,R,382,3,3,0,0,3
SV024,R,383,3,2,0,0,2
SV024,R,384,2,0,0,1,0
SV024,R,385,2,2,0,0,2
SV024,R,386,3,2,0,1,2
SV024,R,387,2,0,0,1,0
SV024,R,388,3,2,0,1,2
SV024,R,389,3,2,1,0,2
SV024,R,390,2,2,1,0,2
SV024,R,391,2,0,1,1,0
