tSample,LX,LY,LPupil,RX,RY,RPupil
1778180,1907.9,1053.5,1117.0,,,
1778184,1907.7,1053.9,1116.0,,,
1778188,1907.4,1054.7,1115.0,,,
1778192,1907.0,1054.9,1115.0,,,
1778196,1906.5,1055.5,1115.0,,,
1778200,1906.0,1056.5,1115.0,,,
1778204,1904.5,1058.1,1114.0,,,
1778208,1902.4,1060.5,1114.0,,,
1778212,1900.1,1062.3,1114.0,,,
1778216,1898.4,1063.1,1114.0,,,
1778220,1898.7,1062.1,1114.0,,,
1778224,1899.4,1060.3,1113.0,,,
1778228,1899.9,1058.7,1112.0,,,
1778232,1900.0,1057.1,1111.0,,,
1778236,1899.3,1055.3,1110.0,,,
1778240,1898.6,1053.4,1110.0,,,
1778244,1897.9,1051.7,1110.0,,,
1778248,1897.1,1051.0,1109.0,,,
1778252,1896.1,1052.0,1109.0,,,
1778256,1895.0,1053.3,1108.0,,,
1778260,1894.2,1054.6,1108.0,,,
1778264,1894.1,1054.6,1108.0,,,
1778268,1894.8,1051.0,1109.0,,,
1778272,1895.6,1045.8,1110.0,,,
1778276,1896.5,1041.6,1111.0,,,
1778280,1897.2,1042.6,1107.0,,,
1778284,1897.4,1050.2,1101.0,,,
1778288,1896.2,1090.4,1084.0,,,
1778292,1900.3,1224.1,1038.0,,,
1778296,1896.3,1502.8,953.0,,,
1778300,1863.6,1971.7,825.0,,,
1778304,1757.5,2765.1,638.0,,,
1778308,1617.3,3270.0,485.0,,,
1778312,1495.5,3270.0,383.0,,,
1778316,,,0.0,,,
1778320,,,0.0,,,
1778324,,,0.0,,,
1778328,,,0.0,,,
1778332,,,0.0,,,
1778336,,,0.0,,,
1778340,,,0.0,,,
1778344,,,0.0,,,
1778348,,,0.0,,,
1778352,,,0.0,,,
1778356,,,0.0,,,
1778360,,,0.0,,,
1778364,,,0.0,,,
1778368,,,0.0,,,
1778372,,,0.0,,,
1778376,,,0.0,,,
1778380,,,0.0,,,
1778384,,,0.0,,,
1778388,,,0.0,,,
1778392,,,0.0,,,
1778396,,,0.0,,,
1778400,,,0.0,,,
1778404,,,0.0,,,
1778408,,,0.0,,,
1778412,,,0.0,,,
1778416,,,0.0,,,
1778420,,,0.0,,,
1778424,,,0.0,,,
1778428,,,0.0,,,
1778432,,,0.0,,,
1778436,,,0.0,,,
1778440,,,0.0,,,
1778444,1167.9,3270.0,395.0,,,
1778448,1167.9,3270.0,395.0,,,
1778452,1189.8,3270.0,412.0,,,
1778456,1271.4,3270.0,474.0,,,
1778460,1387.7,2936.9,551.0,,,
1778464,1515.8,2519.9,648.0,,,
1778468,1607.5,2194.7,724.0,,,
1778472,1655.8,1933.4,782.0,,,
1778476,1682.2,1715.7,835.0,,,
1778480,1700.0,1533.3,882.0,,,
1778484,1708.6,1383.5,922.0,,,
1778488,1711.1,1246.5,961.0,,,
1778492,1713.6,1122.7,996.0,,,
1778496,1712.4,1033.3,1022.0,,,
1778500,1715.1,967.5,1039.0,,,
1778504,1715.9,933.0,1048.0,,,
1778508,1716.7,908.6,1053.0,,,
1778512,1717.0,892.1,1056.0,,,
1778516,1715.6,887.8,1053.0,,,
1778520,1712.6,888.7,1047.0,,,
1778524,1709.9,891.0,1040.0,,,
1778528,1707.5,894.1,1035.0,,,
1778532,1706.8,897.7,1029.0,,,
1778536,1706.1,902.0,1022.0,,,
1778540,1705.5,907.8,1015.0,,,
1778544,1705.7,914.6,1010.0,,,
1778548,1706.8,920.5,1005.0,,,
1778552,1707.9,924.3,1000.0,,,
1778556,1708.5,927.0,994.0,,,
1778560,1708.9,928.5,988.0,,,
1778564,1709.3,929.6,982.0,,,
1778568,1709.8,933.0,977.0,,,
1778572,1710.4,938.6,971.0,,,
1778576,1710.4,944.6,965.0,,,
1778580,1710.1,950.2,958.0,,,
1778584,1709.4,953.6,953.0,,,
1778588,1708.5,957.4,946.0,,,
1778592,1708.4,961.9,941.0,,,
1778596,1709.0,966.7,934.0,,,
1778600,1710.5,969.7,929.0,,,
1778604,1712.4,972.0,923.0,,,
1778608,1713.6,972.9,918.0,,,
1778612,1714.6,973.3,911.0,,,
1778616,1715.3,974.5,907.0,,,
1778620,1716.4,977.3,900.0,,,
1778624,1717.9,979.9,894.0,,,
1778628,1719.2,982.2,888.0,,,
1778632,1720.8,983.8,882.0,,,
1778636,1722.7,985.8,877.0,,,
1778640,1724.3,989.1,872.0,,,
1778644,1726.2,992.3,867.0,,,
1778648,1728.0,994.3,862.0,,,
1778652,1729.6,995.4,858.0,,,
1778656,1731.2,996.7,854.0,,,
1778660,1732.7,998.4,850.0,,,
1778664,1734.5,1000.7,846.0,,,
1778668,1734.4,1002.4,842.0,,,
1778672,1720.7,1001.8,839.0,,,
1778676,1684.7,999.0,836.0,,,
