trialID,fixStart,fixEnd,fixFailed,fixSucceed,stimStart,stimEnd,respStart,respEnd
358,1780822,1788568,,1788318.0,1788586,1788851,1789352,1791873
359,1791875,1792868,,1807487.0,1792885,1793135,1793636,1797056
360,1802532,1803536,,1817521.0,1803553,1803803,1804303,1804993
361,1804995,1807737,,1822738.0,1807753,1808004,1808504,1809425
362,1809428,1810420,,1831739.0,1810437,1810687,1811188,1812529
363,1812532,1817771,,1840906.0,1817788,1818038,1818538,1820737
364,1820740,1822988,,1845357.0,1823005,1823255,1823755,1824609
365,1824611,1825605,,1854391.0,1825622,1825872,1826372,1827746
366,1827747,1831989,,1861842.0,1832006,1832272,1832772,1833378
367,1833380,1834372,,1867976.0,1834389,1834639,1835139,1835746
368,1835748,1836239,,1903512.0,1836256,1836506,1837006,1837906
369,1837908,1841157,,1910280.0,1841173,1841423,1841923,1842866
370,1842868,1845607,,1921064.0,1845624,1845874,1846374,1847026
371,1847028,1848024,,1925448.0,1848040,1848308,1848808,1849458
372,1849460,1850458,,1946300.0,1850474,1850741,1851241,1851890
373,1851892,1854641,,1979086.0,1854658,1854925,1855424,1856019
374,1856021,1856508,,2019473.0,1856525,1856775,1857275,1857859
375,1857861,1858358,,2065745.0,1858375,1858642,1859142,1859843
376,1859845,1862092,,2092264.0,1862109,1862358,1862858,1863555
377,1863557,1864059,,2196340.0,1864076,1864326,1864825,1865474
378,1865476,1868226,,2203774.0,1868243,1868509,1869009,1869651
379,1869653,1870643,,2212792.0,1870659,1870926,1871426,1872211
380,1876695,1877693,,2221160.0,1877710,1877960,1878461,1879075
381,1879077,1879577,,2230560.0,1879594,1879844,1880344,1880900
382,1880902,1881393,,2239561.0,1881410,1881677,1882177,1883140
383,1883142,1884144,,,1884161,1884427,1884927,1885972
384,1885974,1886461,,,1886477,1886744,1887244,1887892
385,1887893,1888394,,,1888411,1888678,1889178,1890340
386,1890342,1890845,,,1890861,1891128,1891628,1892260
387,1892262,1892761,,,1892778,1893045,1893545,1894452
388,1894454,1894945,,,1894961,1895229,1895729,1896292
389,1896294,1896795,,,1896812,1897062,1897562,1898132
390,1898134,1898629,,,1898645,1898912,1899412,1900020
391,1900023,1903762,,,1903779,1904046,1904546,1905588
392,1905590,1906579,,,1906596,1906846,1907346,1908260
393,1908263,1910530,,,1910547,1910797,1911296,1911956
394,1911958,1912447,,,1912463,1912713,1913213,1913780
395,1913782,1914280,,,1914297,1914563,1915064,1916308
396,1916310,1916814,,,1916831,1917097,1917597,1918564
397,1918566,1921314,,,1921331,1921597,1922098,1922949
398,1922951,1925698,,,1925715,1925981,1926481,1927317
399,1927319,1928815,,,1928831,1929082,1929582,1930213
400,1934728,1935215,,,1935232,1935482,1935982,1936949
401,1936951,1937449,,,1937466,1937732,1938232,1938821
402,1938823,1939816,,,1939832,1940083,1940583,1941301
403,1941303,1946550,,,1946567,1946817,1947317,1948278
404,1948280,1949267,,,1949283,1949534,1950034,1951190
405,1951192,1951684,,,1951700,1951950,1952451,1953254
406,1953256,1953751,,,1953767,1954034,1954534,1955221
407,1955224,1955718,,,1955734,1956001,1956501,1957430
408,1957432,1957934,,,1957951,1958218,1958718,1959446
409,1959447,1959951,,,1959968,1960235,1960735,1961302
410,1961305,1961802,,,1961818,1962085,1962585,1963158
411,1963160,1963652,,,1963668,1963918,1964418,1965366
412,1965368,1965868,,,1965885,1966135,1966635,1967526
413,1967528,1968519,,,1968535,1968785,1969285,1969910
414,1969913,1970402,,,1970419,1970685,1971185,1971815
415,1971817,1972319,,,1972335,1972602,1973103,1974086
416,1974088,1979336,,,1979353,1979620,1980119,1980935
417,1980937,1981437,,,1981454,1981703,1982203,1983015
418,1983017,1984020,,,1984037,1984287,1984787,1985399
419,1985400,1986887,,,1986904,1987171,1987671,1988311
420,1993193,1993688,,,1993704,1993954,1994455,1995399
421,1995401,1996388,,,1996405,1996655,1997155,1998119
422,1998121,1999122,,,1999138,1999388,1999888,2000727
423,2000729,2001222,,,2001239,2001505,2002005,2002951
424,2002953,2003456,,,2003472,2003722,2004222,2004855
425,2004857,2005356,,,2005372,2005639,2006139,2007591
426,2007593,2008589,,,2008606,2008856,2009356,2010727
427,2010729,2011723,,,2011739,2012006,2012506,2013127
428,2013129,2013623,,,2013640,2013889,2014389,2015016
429,2015018,2015506,,,2015523,2015773,2016273,2016984
430,2016986,2019724,,,2019740,2020007,2020507,2021512
431,2021514,2022007,,,2022024,2022274,2022774,2023400
432,2023402,2023891,,,2023907,2024174,2024674,2025320
433,2025322,2025825,,,2025841,2026108,2026608,2027384
434,2027387,2027875,,,2027891,2028158,2028658,2029528
435,2029530,2030025,,,2030041,2030291,2030791,2031448
436,2031450,2031941,,,2031959,2032225,2032725,2033368
437,2033370,2033858,,,2033875,2034142,2034642,2035305
