eye,tStart,tEnd,duration,xAvg,yAvg,pupilAvg
R,273167,278543,5380,1991.5,1028.1,775
R,278715,282163,3452,2065.7,1016.2,904
R,282187,282271,88,2368.2,1072.0,833
R,282339,282731,396,3155.0,1105.4,713
R,282851,283287,440,825.3,844.4,913
R,283387,283787,404,3178.0,1052.1,710
R,283927,284167,244,426.1,923.8,915
R,284195,284787,596,-53.3,976.8,898
R,284943,285131,192,3270.0,1190.6,784
R,285191,286775,1588,2013.2,1039.9,913
R,286791,291987,5200,1997.2,1069.0,892
R,292147,294459,2316,2006.4,1055.2,817
R,294499,294659,164,1409.9,1066.4,481
R,294695,295651,960,1962.1,1127.8,298
R,295675,295791,120,2330.8,1240.5,230
R,295819,295843,28,2548.2,1404.4,203
R,295887,295911,28,2530.0,1373.7,194
R,295927,295971,48,2516.4,1461.0,193
R,296047,296343,300,1504.6,1112.6,302
R,296375,297019,648,1948.1,1136.5,369
R,297051,297319,272,2363.7,1257.6,362
R,297343,304811,7472,1986.3,1112.1,662
R,304991,305211,224,2031.2,1047.3,866
R,305247,305515,272,1512.1,1063.0,649
R,305551,305967,420,1993.4,1140.9,454
R,306011,306151,144,2517.4,1308.6,450
R,306175,306319,148,2830.4,1403.3,407
R,306343,306367,28,3168.4,1966.9,182
R,306651,306679,32,2975.9,1634.9,40
R,306735,306879,148,1801.3,1127.2,536
R,306927,307299,376,908.4,1082.6,633
R,307507,307867,364,1699.6,1104.5,526
R,308207,308791,588,2130.1,1143.3,584
R,309091,310079,992,1915.0,1087.3,491
R,310695,310887,196,2280.6,1152.2,568
R,310915,313091,2180,2003.9,1066.1,611
R,313295,314395,1104,2086.1,1064.0,782
R,314547,314931,388,2101.2,990.9,849
R,314967,315031,68,1651.9,1018.1,814
R,315071,315219,152,1069.7,1069.4,652
R,315263,315491,232,511.0,1140.9,473
R,315555,315723,172,2059.9,1143.3,368
R,315775,315963,192,2805.9,1398.1,326
R,315995,316167,176,3156.4,1277.9,303
R,316215,316475,264,2477.9,1293.2,317
R,318715,319439,728,1905.6,1109.7,786
R,319487,319735,252,1166.6,1135.2,688
R,319815,320203,392,1735.4,1109.3,624
R,320227,322659,2436,2031.1,1161.8,705
R,322879,328131,5256,2025.9,1143.9,692
R,328395,329443,1052,2008.5,1119.2,627
R,329475,329627,156,1617.5,1064.4,531
R,329667,329923,260,1074.1,1053.9,521
R,329987,330067,84,2414.4,1118.3,552
R,330095,330315,224,2733.2,1233.7,495
R,330371,330563,196,1935.8,1220.8,536
R,330591,330783,196,1618.1,1205.3,560
R,330819,330943,128,2239.8,1301.3,515
R,333867,334655,792,2226.4,1359.8,769
R,334999,335407,412,1821.4,1365.1,847
R,335435,335507,76,2101.6,1289.1,795
R,335535,335687,156,2390.2,1421.6,726
R,335891,336287,400,1715.4,1270.1,525
R,336319,336631,316,2032.6,1244.3,664
R,336659,336899,244,1684.6,1261.9,670
R,336927,337667,744,1919.7,1275.6,609
R,337691,338299,612,2164.5,1321.0,552
R,338323,344171,5852,2004.3,1157.0,631
R,344219,344331,116,1268.0,1079.0,478
R,344351,344683,336,1164.6,1137.2,499
R,344859,345239,384,1985.0,1104.1,435
R,345287,345847,564,1219.3,1045.5,621
R,345871,345967,100,1266.8,884.6,621
R,345999,346151,156,1333.1,589.4,615
R,346195,346471,280,1183.9,1129.3,616
R,346527,346799,276,2029.5,1235.0,514
R,346847,347667,824,1190.9,1106.6,749
R,347863,348547,688,1263.2,1129.1,827
R,348571,348767,200,1295.6,927.4,803
R,348795,349371,580,1265.1,1152.2,769
R,349587,349847,264,1308.7,1131.5,818
R,349875,350139,268,1227.4,1286.9,894
R,350347,350843,500,1853.7,1108.6,717
R,350891,351331,444,1179.0,1358.7,821
R,351575,352343,772,2111.5,1230.8,750
R,352571,352803,236,1249.6,1116.3,803
R,352851,355555,2708,2029.6,1060.7,803
R,355599,355911,316,1338.2,1159.6,705
R,355939,356387,452,1044.0,1204.0,593
R,356435,359407,2976,2018.9,1085.4,791
R,359423,369451,10032,2065.0,1131.7,801
R,369503,369535,36,2757.9,1530.4,758
R,369563,369587,28,2743.1,1277.8,772
R,369611,369635,28,2788.9,1577.4,600
R,369659,369727,72,3270.0,2065.0,298
R,369987,382383,12400,2004.5,1138.6,700
R,382431,384279,1852,1188.5,1103.2,700
R,384491,384775,288,1235.0,1089.8,821
R,384979,385495,520,1225.3,1055.3,869
R,385727,393767,8044,2002.1,1158.5,635
R,393807,394791,988,2638.9,1518.6,370
R,394987,396027,1044,2624.1,1548.5,471
R,396087,396279,196,1819.1,1166.3,450
R,396303,404183,7884,1975.0,1129.7,670
R,404211,404267,60,2351.4,1258.1,587
R,404295,404719,428,2587.0,1419.2,583
R,404895,405819,928,2612.7,1528.0,475
R,406095,406651,560,2765.5,1675.4,512
R,406835,414031,7200,1976.6,1135.6,582
R,414067,418235,4172,1976.6,1148.8,562
R,418307,418343,40,2799.8,1814.4,494
R,418363,418771,412,2738.3,1517.9,446
R,419019,431835,12820,2007.9,1132.8,717
R,431875,432011,140,2533.3,1322.7,772
R,432035,432163,132,2617.2,1473.2,599
R,432367,432883,520,2013.1,1193.2,505
R,432927,433127,204,2633.8,1463.5,586
R,433171,436743,3576,1998.4,1112.2,693
R,436787,436979,196,2480.8,1365.0,543
R,436999,437123,128,2635.9,1445.8,553
R,437263,438243,984,2013.2,1206.3,571
R,438291,438539,252,2584.2,1449.8,659
R,438559,439431,876,2677.2,1560.5,554
R,439743,439879,140,2192.8,1289.1,540
R,439903,443139,3240,1992.7,1119.6,694
R,443183,443311,132,1382.7,1160.8,550
R,443327,443667,344,1262.0,1138.4,603
R,443691,443911,224,1028.6,1179.3,606
R,444087,445807,1724,1997.6,1105.8,672
R,445823,446187,368,2050.7,1116.8,763
R,446255,446619,368,1066.9,1147.7,841
R,446643,446931,292,1267.0,1126.1,720
R,447095,447587,496,1982.1,1123.9,645
R,447635,448055,424,1163.9,1104.8,782
R,448279,455511,7236,2002.3,1093.1,766
R,455571,455767,200,2769.7,1197.6,752
R,456007,456547,544,2017.7,1150.9,779
R,456783,457267,488,2025.7,1094.7,839
R,457319,457639,324,2796.4,1123.2,814
R,459043,459115,76,2625.3,1425.2,812
R,459135,459439,308,2709.6,1366.2,838
R,459471,460811,1344,2750.0,1125.7,657
R,460863,460899,40,2720.2,1817.4,799
R,460915,460991,80,2744.0,1616.7,855
R,461175,474895,13724,2000.9,1117.0,835
R,475103,484303,9204,1992.7,1112.5,831
R,484327,484383,60,2213.8,1104.6,908
R,484431,484711,284,2680.8,1407.5,622
R,484735,484883,152,2673.3,1630.5,509
R,485031,485571,544,1933.9,1177.9,612
R,485587,486099,516,2029.4,1152.7,765
R,486155,486303,152,2770.9,1575.4,782
R,486327,487103,780,2687.8,1466.3,668
R,487403,487471,72,3170.0,2158.5,326
R,487487,487527,44,3253.1,2199.3,261
R,487651,488567,920,2680.0,1314.8,803
R,488723,489103,384,2016.9,1116.6,816
R,489151,489171,24,2113.4,1558.1,665
R,489195,489411,220,2003.0,1101.3,794
R,489455,489707,256,2623.3,1116.9,797
R,489931,495211,5284,1991.1,1099.9,711
R,495287,498723,3440,2004.0,1109.2,869
R,498951,499291,344,1987.4,1150.1,758
R,499915,500011,100,1350.2,1039.2,889
R,500039,500311,276,1151.2,1218.7,896
R,500599,500863,268,1017.1,1323.3,766
R,500891,502095,1208,1197.7,1054.9,832
R,502411,502899,492,1920.7,1042.5,889
R,502943,503403,464,1179.9,1151.2,926
R,503447,503727,284,1984.5,1040.1,854
R,503775,504815,1044,1179.0,1050.0,881
R,504991,508599,3612,1949.2,1058.3,825
R,508623,511815,3196,1972.1,1123.3,773
R,511843,512023,184,1603.4,1039.4,597
R,512063,512203,144,2185.1,1120.7,451
R,512223,512383,164,2336.8,1177.9,384
R,512423,512575,156,1823.9,1034.4,417
R,512603,512759,160,1592.7,1143.1,500
R,512791,512923,136,2067.4,1198.3,565
R,513139,513415,280,1082.7,350.1,519
R,515499,515595,100,1628.1,1043.5,661
R,515627,515951,328,1987.5,1110.5,566
R,515967,516163,200,2025.4,1197.6,415
R,516183,516811,632,1997.2,1051.5,444
R,517031,517223,196,1944.3,1168.3,499
R,517247,517559,316,1681.6,1095.7,642
R,517587,521927,4344,1985.0,1094.2,736
R,522183,524159,1980,2000.1,1042.5,850
R,524195,524603,412,2637.0,1121.2,871
R,524627,524719,96,2681.0,1398.0,791
R,524883,528435,3556,1981.5,1129.2,786
R,528475,528843,372,2558.2,1304.2,637
R,529087,529411,328,2350.4,1306.2,673
R,529443,533799,4360,1965.4,1113.8,775
R,533855,534503,652,1151.0,1024.6,588
R,534535,534687,156,1092.6,1243.1,710
R,534947,546483,11540,1984.2,1122.6,874
R,546731,546739,12,2081.9,1380.1,905
R,546755,547715,964,1989.5,1100.3,954
R,547751,547987,240,1530.4,1012.1,915
