eye,tStart,tEnd,duration
L,1743758,1743814,60
L,1747646,1747646,4
L,1748278,1748886,612
L,1759710,1759810,104
L,1761750,1761886,140
L,1765214,1767534,2324
L,1774506,1774582,80
L,1779658,1779730,76
L,1782586,1783054,472
L,1786270,1786654,388
L,1788194,1788786,596
L,1792418,1793690,1276
L,1797734,1797854,124
L,1798218,1798978,764
L,1801386,1801666,284
L,1802934,1803038,108
L,1803934,1804058,128
L,1806890,1806962,76
L,1809322,1810618,1300
L,1812458,1812554,100
L,1813714,1814334,624
L,1816166,1816334,172
L,1817138,1819394,2260
L,1822414,1822926,516
L,1829174,1829254,84
L,1836738,1836878,144
L,1847854,1847990,140
L,1855478,1855618,144
L,1861506,1861634,132
L,1867958,1868034,80
L,1876826,1876962,140
L,1885790,1885898,112
L,1893598,1893718,124
L,1902170,1902298,132
L,1904654,1904734,84
L,1912122,1912246,128
L,1938122,1939242,1124
L,1941114,1941434,324
L,1942846,1943326,484
L,1963102,1963202,104
L,1972734,1972898,168
L,1974578,1974782,208
L,1989890,1990046,160
L,1999322,1999554,236
L,2005190,2005362,176
L,2012770,2012870,104
L,2017122,2017250,132
L,2035698,2035854,160
L,2040914,2041058,148
L,2045054,2045442,392
L,2046306,2046450,148
L,2049078,2049450,376
L,2050038,2050210,176
L,2073190,2073342,156
L,2088934,2089158,228
L,2093014,2093254,244
L,2104162,2104274,116
L,2120434,2120634,204
L,2124706,2124958,256
L,2128026,2128754,732
L,2129026,2129530,508
L,2130530,2130642,116
L,2133558,2133618,64
L,2133974,2134746,776
L,2146318,2146370,56
L,2146854,2147070,220
L,2147818,2148014,200
L,2154006,2154098,96
L,2167714,2167814,104
L,2182622,2182762,144
L,2191794,2191942,152
L,2198282,2198426,148
L,2202938,2203350,416
L,2206002,2209478,3480
L,2211798,2211886,92
L,2215794,2215986,196
L,2225438,2225542,108
L,2232510,2232606,100
L,2244814,2244906,96
L,2246238,2246386,152
L,2246978,2247214,240
L,2247918,2248310,396
L,2248698,2249150,456
L,2249386,2249938,556
L,2250042,2257146,7108
L,2258046,2258154,112
L,2262102,2262194,96
L,2266602,2266786,188
L,2277290,2277642,356
L,2283006,2283374,372
L,2287050,2287214,168
L,2291990,2292126,140
L,2299070,2299214,148
L,2307694,2307830,140
L,2311402,2311554,156
L,2326682,2326822,144
L,2338010,2338514,508
L,2338754,2341030,2280
L,2345194,2345394,204
L,2346674,2347166,496
L,2352470,2352594,128
L,2353542,2354954,1416
L,2356282,2356806,528
L,2358342,2358526,188
L,2370002,2370078,80
L,2376954,2377134,184
L,2384314,2384446,136
L,2408162,2408386,228
L,2410014,2410154,144
L,2424646,2424758,116
L,2430398,2430606,212
L,2442290,2442430,144
L,2443226,2449798,6576
L,2450678,2451054,380
L,2451194,2462386,11196
L,2464222,2465882,1664
L,2473938,2474074,140
L,2482426,2482622,200
L,2488322,2488442,124
L,2499098,2499354,260
L,2503218,2503366,152
L,2515078,2515238,164
L,2528274,2528350,80
L,2542274,2543054,784
L,2545806,2555226,9424
L,2555742,2555822,84
L,2558450,2558594,148
L,2561626,2561730,108
L,2573970,2574066,100
L,2578034,2578142,112
L,2585710,2585878,172
L,2592122,2592174,56
L,2592854,2594850,2000
L,2597214,2597438,228
L,2599022,2599210,192
L,2599350,2601422,2076
L,2604374,2604542,172
L,2613682,2613818,140
L,2628258,2628262,8
L,2631078,2631466,392
L,2632102,2632810,712
L,2634746,2637558,2816
L,2641502,2641622,124
L,2642046,2653318,11276
L,2654058,2654142,88
L,2656994,2657082,92
L,2658534,2658626,96
L,2661734,2661826,96
L,2664674,2664798,128
L,2671446,2671554,112
L,2678446,2678594,152
L,2686554,2686690,140
L,2693610,2693862,256
L,2695730,2698594,2868
L,2701390,2703502,2116
L,2707586,2707730,148
