time,text
3864336,!CAL
3864336,!CAL Calibration points:
3864336,"!CAL -1.0, -25.4 2143, 5050"
3864336,"!CAL -4.0, -49.3 2175, 8489"
3864336,"!CAL 1.4, -12.1 2116, 1948"
3864336,"!CAL -28.0, -21.1 -1820, 4868"
3864336,"!CAL 28.5, -30.0 6721, 5274"
3864337,"!CAL eye check box: (L,R,T,B)"
3864337,"!CAL href cal range: (L,R,T,B)"
3864337,"!CAL Cal coeff:(X=a+bx+cy+dxx+eyy,Y=f+gx+goaly+ixx+jyy)"
3864337,"!CAL Prenormalize: offx, offy = -0.99351 -25.399"
3864337,!CAL Gains: cx:149.510 lx:139.721 rx:159.656
3864337,!CAL Gains: cy:296.898 ty:75.371 by:286.941
3864337,"!CAL Resolution (upd) at screen center: X=1.8, Y=0.9"
3864337,!CAL Gain Change Proportion: X: 0.143 Y: 2.807
3864337,!CAL Gain Ratio (Gy/Gx) = 1.986
3864337,"!CAL Cross-Gain Ratios: X=0.168, Y=0.124"
3864337,"!CAL PCR gain ratio(x,y) = 2.500, 2.500"
3864337,"!CAL CR gain match(x,y) = 1.000, 1.000"
3864337,!CAL Slip rotation correction OFF
3864338,!CAL CALIBRATION HV5 R RIGHT GOOD
3872006,"!CAL VALIDATION HV5 R RIGHT GOOD ERROR 0.28 avg. 0.97 max OFFSET 0.23 deg. 0.7,19.2 pix."
3872006,"VALIDATE R 4POINT 0 RIGHT at 1920,1080 OFFSET 0.09 deg. 6.2,6.4 pix."
3872006,"VALIDATE R 4POINT 1 RIGHT at 1920,184 OFFSET 0.39 deg. 19.1,28.9 pix."
3872007,"VALIDATE R 4POINT 2 RIGHT at 1920,1975 OFFSET 0.97 deg. 3.9,80.0 pix."
3872007,"VALIDATE R 4POINT 3 RIGHT at 230,1080 OFFSET 0.31 deg. -34.6,5.8 pix."
3872007,"VALIDATE R 4POINT 4 RIGHT at 3609,1080 OFFSET 0.18 deg. -7.2,13.5 pix."
3878778,"DRIFTCORRECT R RIGHT at 1920,1080 OFFSET 0.08 deg. 0.5,-6.8 pix."
3879320,RECCFG CR 250 2 1 R
3879320,ELCLCFG RTABLER
3879320,GAZE_COORDS 0.00 0.00 3839.00 2159.00
3879320,THRESHOLDS R 95 204
3879320,ELCL_PROC ELLIPSE (5)
3879320,ELCL_EFIT_PARAMS 1.01 4.00 0.15 0.05 0.65 0.65 0.00 0.00 0.30
3879321,!MODE RECORD CR 250 2 1 R
3884321,TRIALID 1
3884327,FIX_START
3885330,FIX_END
3885347,STIM_START
3885597,STIM_END
3886097,RESP_START
3888665,RESP_END
3888665,TRIAL_END 1
3888665,TRIALID 2
3888667,FIX_START
3889164,FIX_END
3889180,STIM_START
3889447,STIM_END
3889947,RESP_START
3891998,RESP_END
3891998,TRIAL_END 2
3891998,TRIALID 3
3892000,FIX_START
3892997,FIX_END
3893014,STIM_START
3893281,STIM_END
3893781,RESP_START
3895497,RESP_END
3895497,TRIAL_END 3
3895497,TRIALID 4
3895500,FIX_START
3896498,FIX_END
3896515,STIM_START
3896781,STIM_END
3897281,RESP_START
3899081,RESP_END
3899081,TRIAL_END 4
3899081,TRIALID 5
3899083,FIX_START
3900081,FIX_END
3900098,STIM_START
3900365,STIM_END
3900865,RESP_START
3902548,RESP_END
3902548,TRIAL_END 5
3902548,TRIALID 6
3902550,FIX_START
3903549,FIX_END
3903565,STIM_START
3903832,STIM_END
3904332,RESP_START
3906181,RESP_END
3906181,TRIAL_END 6
3906181,TRIALID 7
3906184,FIX_START
3907182,FIX_END
3907199,STIM_START
3907465,STIM_END
3907966,RESP_START
3909449,RESP_END
3909449,TRIAL_END 7
3909449,TRIALID 8
3909451,FIX_START
3910449,FIX_END
3910466,STIM_START
3910716,STIM_END
3911216,RESP_START
3912899,RESP_END
3912899,TRIAL_END 8
3912899,TRIALID 9
3912901,FIX_START
3913899,FIX_END
3913916,STIM_START
3914166,STIM_END
3914666,RESP_START
3917783,RESP_END
3917783,TRIAL_END 9
3917783,TRIALID 10
3917785,FIX_START
3918783,FIX_END
3918800,STIM_START
3919067,STIM_END
3919567,RESP_START
3921600,RESP_END
