eye,tStart,tEnd,duration
R,673781,673841,64
R,674829,674837,12
R,690961,691081,124
R,697021,697053,36
R,708345,709077,736
R,711509,714101,2596
R,716141,717941,1804
R,719601,719693,96
R,722145,722165,24
R,723145,723181,40
R,723665,723745,84
R,724449,724509,64
R,725365,725449,88
R,727745,727805,64
R,728249,728309,64
R,729577,729585,12
R,730057,730129,76
R,731429,731489,64
R,732905,732925,24
R,734629,734641,16
R,738625,738645,24
R,739009,739217,212
R,740417,740501,88
R,744625,744801,180
R,745517,745561,48
R,746585,746689,108
R,747317,747373,60
R,748237,748269,36
R,748989,749049,64
R,749681,749725,48
R,750245,750629,388
R,752245,752269,28
R,769417,769445,32
R,769929,769961,36
R,770593,770685,96
R,770989,771037,52
R,771329,771369,44
R,774049,774057,12
R,778517,778529,16
R,788973,789001,32
R,789505,789545,44
R,790905,790953,52
R,791713,791745,36
R,793973,794009,40
R,797161,797277,120
R,826657,826701,48
R,836345,836345,4
R,839597,839621,28
R,840937,840953,20
R,866585,866601,20
R,878601,878613,16
R,896165,896281,120
R,896485,896629,148
R,917445,917493,52
R,926633,926653,24
R,934545,934641,100
R,936225,936273,52
R,945561,945685,128
R,955761,955829,72
R,956149,956353,208
R,972509,972825,320
R,973293,973425,136
R,975277,975301,28
R,976529,976625,100
R,985305,985333,32
R,996185,996237,56
R,996649,996945,300
R,1002869,1002937,72
R,1011637,1012073,440
R,1012525,1012793,272
R,1013641,1014197,560
R,1015269,1015405,140
R,1016113,1016309,200
R,1016517,1016621,108
R,1034793,1034917,128
R,1044061,1044349,292
R,1044529,1044561,36
R,1044953,1045009,60
R,1063133,1063193,64
R,1078329,1078757,432
R,1079533,1079553,24
R,1086177,1086277,104
R,1091365,1091501,140
R,1101249,1101277,32
R,1117713,1117721,12
R,1123353,1123397,48
R,1124317,1124445,132
R,1125253,1125337,88
R,1130037,1130113,80
R,1132105,1132113,12
R,1132461,1132501,44
R,1133089,1133393,308
R,1139313,1139425,116
R,1140881,1140941,64
R,1141781,1141801,24
R,1166729,1166813,88
R,1189973,1190089,120
R,1196349,1196373,28
R,1205733,1205777,48
R,1206737,1207245,512
R,1207445,1207621,180
R,1208245,1208329,88
R,1209341,1210049,712
R,1210433,1210565,136
R,1211245,1211341,100
R,1211721,1211769,52
R,1211941,1212393,456
R,1212645,1212965,324
R,1213161,1213289,132
R,1213489,1213581,96
R,1213917,1214221,308
R,1214513,1214621,112
R,1214897,1215081,188
R,1215361,1215485,128
R,1220773,1220881,112
R,1230165,1230205,44
R,1243653,1243757,108
R,1245905,1245957,56
R,1247285,1247445,164
R,1264165,1264217,56
R,1276577,1276693,120
R,1276961,1277161,204
R,1289189,1289261,76
R,1289605,1289773,172
R,1290021,1290109,92
R,1290637,1290745,112
R,1291449,1291569,124
R,1292565,1292633,72
R,1294249,1294289,44
R,1294597,1294713,120
R,1298133,1298141,12
R,1300253,1300309,60
R,1313905,1313917,16
R,1316377,1316781,408
R,1320809,1320945,140
R,1321821,1321925,108
R,1331425,1331561,140
R,1333729,1333741,16
R,1337713,1338065,356
