eye,tStart,tEnd,duration,xStart,yStart,xEnd,yEnd,ampDeg,vPeak
R,657505,657521,20,1982.2,910.3,1973.6,1038.9,1.6,112
R,658021,658109,92,1982.9,1048.7,1990.1,1104.4,0.7,496
R,659653,659665,16,1973.6,1211.6,2010.3,1273.4,0.8,71
R,660501,660513,16,2016.9,1332.2,2064.5,1411.8,1.0,90
R,661049,661065,20,2056.6,1439.4,2035.0,1248.4,2.3,171
R,661805,661813,12,1971.1,1194.3,2010.1,1223.0,0.5,60
R,662385,662393,12,2008.9,1226.1,2066.4,1254.9,0.6,76
R,662429,662473,48,2077.5,1233.7,2020.4,1347.7,1.5,296
R,663257,663273,20,2028.6,1358.9,2020.6,1254.9,1.2,92
R,665109,665117,12,1951.2,1131.6,2009.4,1141.4,0.5,65
R,665985,666001,20,1982.8,1168.1,2131.3,1268.6,1.8,125
R,666397,666417,24,2187.9,1432.6,2438.6,1566.4,2.7,170
R,667105,667129,28,2593.0,1645.2,2560.3,1296.4,4.2,235
R,668117,668157,44,2359.6,1135.2,1858.5,1070.4,4.4,125
R,668941,668957,20,1724.5,1100.9,1865.3,1209.2,1.8,128
R,669385,669397,16,1896.2,1260.9,1959.8,1311.4,0.8,72
R,669805,669817,16,2002.3,1391.4,2079.5,1473.7,1.2,107
R,670265,670281,20,2197.9,1550.2,2357.9,1647.5,1.8,128
R,670893,670925,36,2464.8,1733.7,2854.1,1271.9,6.5,285
R,671697,671741,48,3033.2,1137.1,2180.9,1208.4,7.5,212
R,672261,672269,12,2051.8,1147.2,1999.6,1170.3,0.5,66
R,672481,672621,144,1989.5,1159.3,1955.1,1101.9,0.8,328
R,673729,673909,184,1970.0,1100.2,1992.6,1291.7,2.3,588
R,674217,674249,36,1995.1,1214.0,2434.3,1153.8,3.9,144
R,674793,674881,92,2497.8,1126.1,2151.1,1138.8,3.0,319
R,676633,676641,12,1973.5,1135.3,1957.8,1097.2,0.5,60
R,678257,678317,64,1984.3,1127.2,1974.7,1158.3,0.4,317
R,679217,679293,80,2012.6,1167.8,2029.9,1150.8,0.2,320
R,681417,681433,20,2025.2,1129.4,1931.0,1104.7,0.9,58
R,681889,681909,24,1874.2,1109.7,2134.1,1133.9,2.3,125
R,683473,683489,20,2174.6,1131.3,2069.0,1074.6,1.1,82
R,684017,684029,16,2040.2,1105.2,2130.0,1112.3,0.8,70
R,684533,684545,16,2166.4,1116.5,2097.2,1089.3,0.7,58
R,686433,686449,20,1835.2,1131.5,1975.4,1122.1,1.2,81
R,686845,686953,112,2047.0,1136.6,2036.6,1134.7,0.1,557
R,688069,688165,100,2057.9,1152.7,2097.1,1218.3,0.9,360
R,689209,689385,180,1990.0,1163.8,1886.8,1230.8,1.2,572
R,690141,690157,20,1892.9,1182.4,2002.3,1171.9,1.0,64
R,690457,690601,148,2094.8,1158.8,1946.6,1231.1,1.6,503
R,690893,691173,284,1931.1,1221.4,1903.3,1225.3,0.2,715
R,691557,691573,20,1925.0,1156.1,2034.4,1102.8,1.1,78
R,692673,692681,12,2093.5,1156.9,2114.2,1193.7,0.5,60
R,693425,693433,12,2120.2,1236.1,2071.3,1228.6,0.4,54
R,694273,694425,156,1984.3,1124.9,1934.3,1133.0,0.4,349
R,695113,695233,124,1901.6,1112.1,2239.1,1159.1,3.0,736
R,696369,696393,28,1892.1,1198.1,2209.1,1152.0,2.8,137
R,697013,697061,52,1892.1,1198.1,2209.1,1152.0,2.8,0
R,697133,697153,24,2315.0,1121.7,2561.0,1133.9,2.2,131
R,697721,697745,28,2681.5,1091.6,2440.2,1109.1,2.1,97
R,698073,698097,28,2278.2,1130.3,2005.4,1149.5,2.4,116
R,698793,698801,12,1892.5,1168.1,1942.4,1186.9,0.5,61
R,699297,699309,16,1961.0,1218.1,1899.6,1263.7,0.8,65
R,699857,699869,16,1932.5,1335.0,2023.7,1346.7,0.8,69
R,700393,700405,16,2077.0,1294.2,2005.7,1267.9,0.7,63
R,704417,704433,20,1951.1,1138.0,1938.9,1249.9,1.4,99
R,704981,704993,16,1964.0,1222.9,1975.6,1152.1,0.9,80
R,705977,706041,68,2013.6,1133.1,2044.5,1096.9,0.5,217
R,708313,709085,776,2000.2,1184.1,1872.2,1813.3,7.6,532
R,710865,710881,20,1964.6,1239.3,1862.3,1200.8,1.0,68
R,711193,711209,20,1801.5,1214.6,1932.2,1307.8,1.6,115
R,711473,714109,2640,1976.1,1334.1,1931.7,1294.8,0.6,823
R,714625,714633,12,1987.2,1229.1,1945.7,1203.3,0.5,60
R,715929,715941,16,1938.5,1238.7,1872.3,1333.1,1.3,114
R,716105,717949,1848,1865.2,1377.7,2135.0,1864.7,6.3,367
R,718333,718453,124,1823.2,1212.9,1689.0,1239.5,1.2,865
R,719121,719261,144,1670.5,1285.6,1499.4,1308.0,1.5,711
R,719545,719793,252,1514.9,1286.4,2227.0,1207.5,6.3,908
R,720109,720125,20,2078.8,1325.9,1919.9,1284.2,1.5,110
