time,text
1300410,!CAL
1300411,!CAL Calibration points:
1300411,"!CAL 1.1, -20.4 2006, 4974"
1300411,"!CAL 0.5, -36.8 2126, 8373"
1300411,"!CAL 0.3, -6.1 1896, 1891"
1300411,"!CAL -33.2, -20.2 -2056, 4946"
1300411,"!CAL 27.0, -19.3 6441, 5033"
1300411,"!CAL eye check box: (L,R,T,B)"
1300411,"!CAL href cal range: (L,R,T,B)"
1300411,"!CAL Cal coeff:(X=a+bx+cy+dxx+eyy,Y=f+gx+goaly+ixx+jyy)"
1300411,"!CAL Prenormalize: offx, offy = 1.0523 -20.402"
1300411,!CAL Gains: cx:140.315 lx:77.815 rx:204.118
1300411,!CAL Gains: cy:221.220 ty:203.142 by:219.668
1300411,"!CAL Resolution (upd) at screen center: X=1.9, Y=1.2"
1300411,!CAL Gain Change Proportion: X: 1.623 Y: 0.081
1300411,!CAL Gain Ratio (Gy/Gx) = 1.577
1300411,"!CAL Cross-Gain Ratios: X=0.038, Y=0.029"
1300411,"!CAL PCR gain ratio(x,y) = 2.500, 2.500"
1300411,"!CAL CR gain match(x,y) = 1.000, 1.000"
1300411,!CAL Slip rotation correction OFF
1300413,!CAL CALIBRATION HV5 L LEFT GOOD
1307037,"!CAL VALIDATION HV5 L LEFT GOOD ERROR 0.39 avg. 0.96 max OFFSET 0.22 deg. 20.3,-11.4 pix."
1307037,"VALIDATE L POINT 0 LEFT at 1920,1080 OFFSET 0.33 deg. -6.5,-26.8 pix."
1307037,"VALIDATE L POINT 1 LEFT at 1920,184 OFFSET 0.08 deg. 2.3,6.5 pix."
1307037,"VALIDATE L POINT 2 LEFT at 1920,1975 OFFSET 0.38 deg. 42.9,0.1 pix."
1307038,"VALIDATE L POINT 3 LEFT at 230,1080 OFFSET 0.96 deg. 102.4,28.1 pix."
1307038,"VALIDATE L POINT 4 LEFT at 3609,1080 OFFSET 0.42 deg. 40.8,-18.8 pix."
1312721,"DRIFTCORRECT L LEFT at 1920,1080 OFFSET 0.39 deg. -33.3,-20.5 pix."
1313278,RECCFG CR 250 2 1 L
1313278,ELCLCFG RTABLER
1313278,GAZE_COORDS 0.00 0.00 3839.00 2159.00
1313278,THRESHOLDS L 99 205
1313278,ELCL_PROC ELLIPSE (5)
1313278,ELCL_EFIT_PARAMS 1.01 4.00 0.15 0.05 0.65 0.65 0.00 0.00 0.30
1313279,!MODE RECORD CR 250 2 1 L
1394994,TRIALID 1
1395018,FIX_START
1395509,FIX_END
1395526,STIM_START
1395792,STIM_END
1396292,RESP_START
1412494,RESP_END
1412494,TRIAL_END 1
1412494,TRIALID 2
1412496,FIX_START
1413994,FIX_END
1414011,STIM_START
1414278,STIM_END
1414777,RESP_START
1420528,RESP_END
1420528,TRIAL_END 2
1420528,TRIALID 3
1420530,FIX_START
1422028,FIX_END
1422045,STIM_START
1422294,STIM_END
1422795,RESP_START
1447314,RESP_END
1447314,TRIAL_END 3
1447314,TRIALID 4
1447316,FIX_START
1448314,FIX_END
1448331,STIM_START
1448597,STIM_END
1449098,RESP_START
1458065,RESP_END
1458065,TRIAL_END 4
1458065,TRIALID 5
1458068,FIX_START
1459565,FIX_END
1459582,STIM_START
1459832,STIM_END
1460332,RESP_START
1467001,RESP_END
1467001,TRIAL_END 5
1467001,TRIALID 6
1467003,FIX_START
1467999,FIX_END
1468016,STIM_START
1468283,STIM_END
1468782,RESP_START
1475834,RESP_END
1475834,TRIAL_END 6
1475834,TRIALID 7
1475835,FIX_START
1477333,FIX_END
1477350,STIM_START
1477600,STIM_END
1478100,RESP_START
1482250,RESP_END
1482250,TRIAL_END 7
1482250,TRIALID 8
1482252,FIX_START
1483251,FIX_END
1483267,STIM_START
1483534,STIM_END
1484034,RESP_START
1489218,RESP_END
1489218,TRIAL_END 8
1489218,TRIALID 9
1489220,FIX_START
1490718,FIX_END
1490734,STIM_START
1491001,STIM_END
1491502,RESP_START
1498635,RESP_END
1498635,TRIAL_END 9
1498635,TRIALID 10
1498637,FIX_START
1499135,FIX_END
1499152,STIM_START
1499419,STIM_END
1499919,RESP_START
1516470,RESP_END
1516470,TRIAL_END 10
1516470,TRIALID 11
1516472,FIX_START
1517470,FIX_END
1517487,STIM_START
1517737,STIM_END
1518237,RESP_START
1530005,RESP_END
1530005,TRIAL_END 11
1530005,TRIALID 12
1530007,FIX_START
1531005,FIX_END
1531022,STIM_START
1531288,STIM_END
1531789,RESP_START
1537655,RESP_END
1537655,TRIAL_END 12
1537655,TRIALID 13
1537658,FIX_START
1538655,FIX_END
1538673,STIM_START
1538923,STIM_END
1539423,RESP_START
1545490,RESP_END
1545490,TRIAL_END 13
1545490,TRIALID 14
1545492,FIX_START
1546490,FIX_END
1546507,STIM_START
1546773,STIM_END
1547273,RESP_START
1553173,RESP_END
1553173,TRIAL_END 14
1553173,TRIALID 15
1553175,FIX_START
1554174,FIX_END
1554191,STIM_START
1554457,STIM_END
1554957,RESP_START
1560807,RESP_END
1560807,TRIAL_END 15
1560807,TRIALID 16
1560809,FIX_START
1561808,FIX_END
1561825,STIM_START
1562092,STIM_END
1562591,RESP_START
1568409,RESP_END
