eye,tStart,tEnd,duration,xAvg,yAvg,pupilAvg
L,3694858,3695090,236,1617.0,1089.9,334
L,3695118,3695382,268,1242.0,1059.0,347
L,3695418,3695574,160,1637.5,1002.8,256
L,3695598,3695766,172,1957.0,998.4,208
L,3695798,3696058,264,2428.4,977.9,174
L,3696090,3696318,232,2807.5,994.2,157
L,3696394,3696882,492,1616.9,1239.5,190
L,3696926,3697150,228,2224.9,1194.6,249
L,3697182,3697494,316,1705.0,1226.3,255
L,3697514,3699014,1504,1913.5,1182.9,287
L,3699042,3699294,256,1568.6,1249.2,352
L,3699322,3700678,1360,1920.0,1117.6,313
L,3700730,3701254,528,2564.0,1101.8,276
L,3701302,3701654,356,2808.0,1721.4,344
L,3701694,3702070,380,2874.0,1170.6,331
L,3702094,3702334,244,2192.0,1116.2,284
L,3702374,3702422,52,2623.3,1097.4,278
L,3702446,3702986,544,2851.1,1127.8,300
L,3703038,3704934,1900,1926.0,1104.3,316
L,3705014,3705330,320,1172.6,2096.4,383
L,3705370,3705638,272,1141.1,1640.0,395
L,3705666,3705902,240,1182.0,1330.2,383
L,3705922,3706258,340,1292.1,1296.5,291
L,3706274,3707518,1248,1160.1,1309.9,258
L,3707538,3708054,520,1301.8,1229.3,295
L,3708098,3709170,1076,1903.7,1127.8,274
L,3709198,3709362,168,1510.1,1181.0,334
L,3709410,3709802,396,1159.7,1792.3,362
L,3709834,3710466,636,1159.1,1447.4,386
L,3710486,3710622,140,1281.4,1337.6,320
L,3710642,3711122,484,1141.3,1294.1,261
L,3711142,3711814,676,1312.2,1227.1,286
L,3711870,3713126,1260,1919.5,1080.8,319
L,3713862,3714066,208,226.9,1056.0,360
L,3714114,3714430,320,1236.8,1039.0,362
L,3714462,3714706,248,1162.4,1385.9,267
L,3714734,3716186,1456,1212.3,1079.1,259
L,3716238,3716262,28,1847.8,1027.2,231
L,3716318,3717470,1156,1933.3,1124.2,310
L,3717538,3717634,100,2750.5,1014.1,340
L,3717682,3718190,512,3270.0,1011.9,346
L,3718210,3718434,228,3270.0,975.7,355
L,3718466,3718758,296,2973.0,968.3,363
L,3718782,3718994,216,2938.4,1124.1,271
L,3719018,3719414,400,2998.6,1273.7,238
L,3719442,3719662,224,2945.2,1012.7,226
L,3719690,3720130,444,2976.7,1237.6,201
L,3720186,3720462,280,3270.0,1015.2,195
L,3720490,3721054,568,2952.6,943.8,213
L,3721082,3721598,520,2891.7,1189.0,262
L,3721630,3721798,172,3270.0,1123.1,265
L,3721870,3723298,1432,1921.9,1094.9,346
L,3723366,3723578,216,1037.1,1321.2,353
L,3723622,3723782,164,1130.4,1797.8,359
L,3723806,3723994,192,1216.7,1979.5,376
L,3724022,3724286,268,1148.0,1604.8,385
L,3724314,3724590,280,1123.3,1398.1,361
L,3724610,3725138,532,1146.8,1255.2,244
L,3725162,3726034,876,1315.9,1225.5,229
L,3726066,3726266,204,1954.9,1103.9,242
L,3726282,3727062,784,1918.1,1093.5,305
L,3727110,3727406,300,2696.0,1213.3,338
L,3727450,3727610,164,3270.0,1162.2,328
L,3727634,3727914,284,3270.0,1286.1,331
L,3727934,3728274,344,3270.0,1129.2,347
L,3728306,3728490,188,3023.2,1134.6,367
L,3728510,3728798,292,2995.0,1296.4,261
L,3728834,3729066,236,2979.4,947.7,214
L,3729098,3729386,292,2986.5,1324.5,220
L,3729414,3730338,928,2958.0,1094.8,253
L,3730354,3730550,200,2949.7,998.8,269
L,3730566,3731458,896,2903.5,942.0,243
L,3731486,3731558,76,3270.0,1069.7,240
L,3731622,3731762,144,2051.5,1097.8,285
L,3731782,3732898,1120,1924.0,1090.2,330
L,3732938,3733242,308,1382.8,1121.5,352
L,3733314,3733374,64,-165.0,1032.3,335
L,3733398,3733510,116,-7.8,1254.9,332
L,3733570,3733634,68,-156.2,979.7,332
L,3733662,3733854,196,274.2,941.9,335
L,3733878,3733990,116,-28.3,585.3,343
L,3734038,3734122,88,1101.2,1667.0,356
L,3734162,3734474,316,1225.6,1052.8,355
L,3734502,3735114,616,1172.8,1324.7,253
L,3735134,3735582,452,1200.2,1400.3,294
