trialID,fixStart,fixEnd,fixFailed,fixSucceed,stimStart,stimEnd,respStart,respEnd
1,2586477,2589228,,2588978.0,2589245,2589495,2589995,2593180
2,2593183,2593678,,3048271.0,2593695,2593961,2594462,2597262
3,2597264,2597762,,3095009.0,2597778,2598029,2598529,2601112
4,2601114,2601612,,3210770.0,2601629,2601895,2602395,2604129
5,2604130,2605130,,3279160.0,2605146,2605412,2605913,2607429
6,2607432,2607929,,3346650.0,2607946,2608212,2608712,2610546
7,2610548,2611547,,3416123.0,2611563,2611830,2612330,2613597
8,2613599,2614596,,3427724.0,2614613,2614863,2615363,2617414
9,2617416,2617914,,3478812.0,2617931,2618197,2618697,2620364
10,2620366,2620864,,3505715.0,2620881,2621147,2621647,2623397
11,2623399,2624398,,3779574.0,2624414,2624681,2625181,2626481
12,2626483,2626982,,3785208.0,2626998,2627248,2627748,2629098
13,2629100,2629598,,3813394.0,2629615,2629881,2630381,2631982
14,2631984,2632482,,3821328.0,2632498,2632765,2633265,2636632
15,2636635,2637132,,3825079.0,2637149,2637399,2637899,2640116
16,2640117,2640616,,3971042.0,2640633,2640899,2641399,2643616
17,2643617,2644617,,4215249.0,2644633,2644900,2645400,2646850
18,2646852,2647850,,4233034.0,2647867,2648117,2648617,2650416
19,2650418,2651417,,4286022.0,2651433,2651683,2652184,2654817
20,2665088,2666085,,4411484.0,2666101,2666368,2666869,2668952
21,2668954,2669952,,4442838.0,2669969,2670235,2670735,2672819
22,2672820,2673319,,4446554.0,2673335,2673602,2674103,2676852
23,2676855,2677353,,4467540.0,2677370,2677620,2678120,2679853
24,2679856,2680853,,4483908.0,2680870,2681120,2681620,2684236
25,2684239,2685237,,,2685254,2685503,2686004,2687637
26,2687639,2688137,,,2688154,2688420,2688921,2690387
27,2690389,2691387,,,2691404,2691654,2692154,2693421
28,2693423,2693921,,,2693937,2694204,2694704,2696971
29,2696973,2697971,,,2697988,2698255,2698754,2700388
30,2700390,2701388,,,2701405,2701671,2702172,2703521
31,2703523,2704522,,,2704538,2704805,2705305,2708606
32,2708608,2709606,,,2709622,2709873,2710372,2712389
33,2712391,2712890,,,2712906,2713156,2713656,2715640
34,2715641,2716140,,,2716156,2716423,2716923,2718407
35,2718408,2719407,,,2719423,2719690,2720190,2722190
36,2722192,2723190,,,2723207,2723457,2723957,2726857
37,2726859,2727357,,,2727374,2727624,2728124,2729424
38,2729426,2730424,,,2730441,2730691,2731191,2732641
39,2732643,2733642,,,2733658,2733925,2734425,2736225
40,2741088,2741575,,,2741592,2741842,2742342,2743809
41,2743811,2744309,,,2744326,2744592,2745092,2748026
42,2748029,2749026,,,2749043,2749309,2749810,2751343
43,2751346,2751843,,,2751859,2752126,2752626,2754477
44,2754479,2754977,,,2754993,2755260,2755760,2757743
45,2757745,2758244,,,2758260,2758527,2759027,2760844
46,2760846,2761344,,,2761361,2761627,2762127,2764311
47,2764313,2764811,,,2764828,2765078,2765578,2766845
48,2766847,2767845,,,2767861,2768111,2768611,2770228
49,2770230,2770728,,,2770745,2771011,2771512,2772795
50,2772797,2773795,,,2773812,2774062,2774562,2776578
51,2776580,2777579,,,2777596,2777846,2778346,2779812
52,2779814,2780313,,,2780329,2780596,2781096,2782595
