eye,tStart,tEnd,duration,xStart,yStart,xEnd,yEnd,ampDeg,vPeak
L,963260,963368,110,1848.7,964.8,1869.3,1090.0,1.5,682
L,963750,963772,24,1892.4,1056.8,1612.4,953.2,2.6,145
L,963966,963996,32,1566.4,940.2,2032.4,1059.8,4.1,168
L,964162,964178,18,2143.7,1091.7,2272.3,1125.7,1.1,78
L,964274,964314,42,2338.6,1114.8,1611.0,989.1,6.2,202
L,964464,964646,184,1553.7,987.3,2048.8,1189.9,4.8,381
L,964816,964834,20,2092.1,1107.8,2226.2,1178.9,1.4,89
L,965012,965036,26,2265.9,1191.2,1947.0,1040.2,3.2,172
L,967380,967562,184,1919.0,1109.7,1888.0,1124.2,0.3,1390
L,967874,967892,20,1932.1,1117.1,2096.1,1169.6,1.5,94
L,968074,968100,28,2170.4,1157.3,1824.8,1032.0,3.2,151
L,968440,968460,22,1781.3,1019.9,1980.7,1071.3,1.8,105
L,968770,968790,22,2106.5,1089.6,2245.6,1148.3,1.4,79
L,969126,969156,32,2297.0,1170.8,1966.0,1066.6,3.0,123
L,969696,969710,16,1914.0,1048.3,2021.7,1063.9,0.9,69
L,970290,970306,18,2058.9,1084.5,1902.5,1057.2,1.4,96
L,970602,970806,206,1849.1,1038.9,2189.3,1147.8,3.1,1317
L,971016,971040,26,2167.8,1121.7,1827.2,1031.4,3.0,161
L,971210,971242,34,1734.2,1001.3,1169.9,968.0,4.7,180
L,971516,971554,40,1125.6,976.4,1831.9,1036.7,5.9,189
L,971704,971732,30,1945.0,1076.4,2265.6,1194.5,3.0,134
L,971950,971978,30,2467.5,1178.4,2897.2,1211.3,3.6,181
L,972138,972202,66,2984.8,1214.5,1590.5,997.9,11.9,270
L,972446,972474,30,1434.8,976.3,963.0,991.2,3.9,171
L,972666,972706,42,897.3,988.4,1743.0,992.2,6.9,229
L,972992,973104,114,1838.7,1037.3,2315.5,1265.2,4.8,1106
L,973374,973390,18,2308.0,1201.2,2471.2,1190.6,1.4,103
